hand:239A8(HandType.HIGH_C). bid:171    value:145880.   hand_rank:1
hand:23T67(HandType.HIGH_C). bid:215    value:146023.   hand_rank:2
hand:24K57(HandType.HIGH_C). bid:838    value:150615.   hand_rank:3
hand:25QK8(HandType.HIGH_C). bid:407    value:154568.   hand_rank:4
hand:27K46(HandType.HIGH_C). bid:822    value:162886.   hand_rank:5
hand:2Q95K(HandType.HIGH_C). bid:736    value:178524.   hand_rank:6
hand:2QTK5(HandType.HIGH_C). bid:541    value:178885.   hand_rank:7
hand:2K5T3(HandType.HIGH_C). bid:245    value:181667.   hand_rank:8
hand:2A935(HandType.HIGH_C). bid:661    value:186677.   hand_rank:9
hand:32475(HandType.HIGH_C). bid:896    value:205941.   hand_rank:10
hand:35Q82(HandType.HIGH_C). bid:554    value:220034.   hand_rank:11
hand:378A6(HandType.HIGH_C). bid:290    value:227542.   hand_rank:12
hand:37QK5(HandType.HIGH_C). bid:167    value:228293.   hand_rank:13
hand:37KQ6(HandType.HIGH_C). bid:109    value:228534.   hand_rank:14
hand:3KA8Q(HandType.HIGH_C). bid:178    value:249227.   hand_rank:15
hand:43596(HandType.HIGH_C). bid:845    value:275862.   hand_rank:16
hand:439QK(HandType.HIGH_C). bid:160    value:276924.   hand_rank:17
hand:43TK2(HandType.HIGH_C). bid:390    value:277186.   hand_rank:18
hand:456AT(HandType.HIGH_C). bid:16     value:284378.   hand_rank:19
hand:462AT(HandType.HIGH_C). bid:498    value:287450.   hand_rank:20
hand:472Q6(HandType.HIGH_C). bid:395    value:291510.   hand_rank:21
hand:4839Q(HandType.HIGH_C). bid:65     value:295835.   hand_rank:22
hand:48753(HandType.HIGH_C). bid:85     value:296787.   hand_rank:23
hand:492A3(HandType.HIGH_C). bid:477    value:299731.   hand_rank:24
hand:4TQ83(HandType.HIGH_C). bid:820    value:306051.   hand_rank:25
hand:4Q378(HandType.HIGH_C). bid:148    value:308088.   hand_rank:26
hand:4K73T(HandType.HIGH_C). bid:309    value:313146.   hand_rank:27
hand:4K78T(HandType.HIGH_C). bid:336    value:313226.   hand_rank:28
hand:4A286(HandType.HIGH_C). bid:868    value:316038.   hand_rank:29
hand:536AK(HandType.HIGH_C). bid:263    value:341724.   hand_rank:30
hand:5K3Q2(HandType.HIGH_C). bid:962    value:377778.   hand_rank:31
hand:5A96K(HandType.HIGH_C). bid:605    value:383340.   hand_rank:32
hand:5AT92(HandType.HIGH_C). bid:326    value:383634.   hand_rank:33
hand:632Q5(HandType.HIGH_C). bid:248    value:406197.   hand_rank:34
hand:63A7Q(HandType.HIGH_C). bid:440    value:408955.   hand_rank:35
hand:64TA7(HandType.HIGH_C). bid:273    value:412375.   hand_rank:36
hand:689Q2(HandType.HIGH_C). bid:852    value:428466.   hand_rank:37
hand:68T37(HandType.HIGH_C). bid:582    value:428599.   hand_rank:38
hand:69AQ5(HandType.HIGH_C). bid:770    value:433589.   hand_rank:39
hand:6T234(HandType.HIGH_C). bid:791    value:434740.   hand_rank:40
hand:6Q934(HandType.HIGH_C). bid:986    value:440628.   hand_rank:41
hand:72648(HandType.HIGH_C). bid:8      value:468552.   hand_rank:42
hand:73495(HandType.HIGH_C). bid:572    value:472213.   hand_rank:43
hand:76A92(HandType.HIGH_C). bid:722    value:486802.   hand_rank:44
hand:78234(HandType.HIGH_C). bid:169    value:492084.   hand_rank:45
hand:78962(HandType.HIGH_C). bid:844    value:493922.   hand_rank:46
hand:79245(HandType.HIGH_C). bid:955    value:496197.   hand_rank:47
hand:796QA(HandType.HIGH_C). bid:594    value:497341.   hand_rank:48
hand:7T83Q(HandType.HIGH_C). bid:835    value:501819.   hand_rank:49
hand:7Q25T(HandType.HIGH_C). bid:534    value:504410.   hand_rank:50
hand:7Q952(HandType.HIGH_C). bid:143    value:506194.   hand_rank:51
hand:7K598(HandType.HIGH_C). bid:271    value:509336.   hand_rank:52
hand:8245Q(HandType.HIGH_C). bid:876    value:533595.   hand_rank:53
hand:8257K(HandType.HIGH_C). bid:229    value:533884.   hand_rank:54
hand:826T4(HandType.HIGH_C). bid:540    value:534180.   hand_rank:55
hand:8293Q(HandType.HIGH_C). bid:966    value:534843.   hand_rank:56
hand:82Q74(HandType.HIGH_C). bid:953    value:535412.   hand_rank:57
hand:8364A(HandType.HIGH_C). bid:892    value:538189.   hand_rank:58
hand:8453Q(HandType.HIGH_C). bid:682    value:542011.   hand_rank:59
hand:84679(HandType.HIGH_C). bid:463    value:542329.   hand_rank:60
hand:84Q7T(HandType.HIGH_C). bid:873    value:543610.   hand_rank:61
hand:86KAQ(HandType.HIGH_C). bid:6      value:552155.   hand_rank:62
hand:872KT(HandType.HIGH_C). bid:708    value:553674.   hand_rank:63
hand:87364(HandType.HIGH_C). bid:72     value:553828.   hand_rank:64
hand:8967A(HandType.HIGH_C). bid:491    value:562813.   hand_rank:65
hand:926K8(HandType.HIGH_C). bid:301    value:599752.   hand_rank:66
hand:928K5(HandType.HIGH_C). bid:106    value:600261.   hand_rank:67
hand:94K7T(HandType.HIGH_C). bid:35     value:609402.   hand_rank:68
hand:95438(HandType.HIGH_C). bid:974    value:611384.   hand_rank:69
hand:9583K(HandType.HIGH_C). bid:447    value:612412.   hand_rank:70
hand:95A4K(HandType.HIGH_C). bid:58     value:613708.   hand_rank:71
hand:963Q7(HandType.HIGH_C). bid:760    value:615351.   hand_rank:72
hand:9647K(HandType.HIGH_C). bid:51     value:615548.   hand_rank:73
hand:96853(HandType.HIGH_C). bid:553    value:616531.   hand_rank:74
hand:97T65(HandType.HIGH_C). bid:476    value:621157.   hand_rank:75
